"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:19:22.2453941 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","REPARSE","Desired Access: Read"
"7:19:22.2454136 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","Desired Access: Read"
"7:19:22.2454322 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\ACP","SUCCESS","Type: REG_SZ, Length: 10, Data: 1252"
"7:19:22.2454507 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\OEMCP","SUCCESS","Type: REG_SZ, Length: 8, Data: 437"
"7:19:22.2454646 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS",""
"7:19:22.2456469 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"7:19:22.2456594 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"7:19:22.2456721 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"7:19:22.2456837 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"7:19:22.2456953 PM","notepad.exe","5656","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"7:19:22.2457047 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"7:19:22.2459431 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\57a6ed1a-79f7-5011-b242-4784e5620cf7","NAME NOT FOUND","Length: 528"
"7:19:22.2463596 PM","notepad.exe","5656","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2463779 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2463946 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"7:19:22.2464109 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"7:19:22.2564886 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\3c74afb9-8d82-44e3-b52c-365dbf48382a","NAME NOT FOUND","Length: 528"
"7:19:22.2566321 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read"
"7:19:22.2566561 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2567245 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\05f95efe-7f75-49c7-a994-60a55cc09571","NAME NOT FOUND","Length: 528"
"7:19:22.2569824 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"7:19:22.2569970 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"7:19:22.2570151 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"7:19:22.2570262 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2570424 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"7:19:22.2570617 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"7:19:22.2570799 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"7:19:22.2570955 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"7:19:22.2571498 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"7:19:22.2571715 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"7:19:22.2571857 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2572001 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"7:19:22.2605580 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide\AssemblyStorageRoots","NAME NOT FOUND","Desired Access: Enumerate Sub Keys"
"7:19:22.2626596 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read"
"7:19:22.2626915 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read"
"7:19:22.2627158 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 00060403"
"7:19:22.2627302 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000604xx","SUCCESS","Type: REG_SZ, Length: 26, Data: kernel32.dll"
"7:19:22.2645262 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument\","REPARSE","Desired Access: Read"
"7:19:22.2645563 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2648216 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f25bcd2e-2690-55dc-3bc4-07b65b1b41c9","NAME NOT FOUND","Length: 528"
"7:19:22.2650082 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2650291 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\notepad.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2650452 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2650707 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2651246 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\notepad.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2651378 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2651699 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2652118 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","Desired Access: Read"
"7:19:22.2652340 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles","NAME NOT FOUND","Length: 20"
"7:19:22.2652467 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS",""
"7:19:22.2653128 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\notepad.exe","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2653471 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2653653 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2653857 PM","notepad.exe","5656","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"7:19:22.2654014 PM","notepad.exe","5656","RegQueryValue","HKCU\Control Panel\Desktop\EnablePerProcessSystemDPI","NAME NOT FOUND","Length: 20"
"7:19:22.2654193 PM","notepad.exe","5656","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"7:19:22.2655421 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS","Desired Access: Read"
"7:19:22.2655626 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32\notepad","NAME NOT FOUND","Length: 172"
"7:19:22.2655774 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS",""
"7:19:22.2655919 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\IME Compatibility","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2660343 PM","notepad.exe","5656","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"7:19:22.2660545 PM","notepad.exe","5656","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2661064 PM","notepad.exe","5656","RegCloseKey","HKCU","SUCCESS",""
"7:19:22.2661303 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2661590 PM","notepad.exe","5656","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"7:19:22.2661829 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2662030 PM","notepad.exe","5656","RegOpenKey","HKCU\Control Panel\Desktop\LanguageConfiguration","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2662235 PM","notepad.exe","5656","RegCloseKey","HKCU","SUCCESS",""
"7:19:22.2662592 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2662883 PM","notepad.exe","5656","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"7:19:22.2663110 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2663311 PM","notepad.exe","5656","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"7:19:22.2663520 PM","notepad.exe","5656","RegQueryValue","HKCU\Control Panel\Desktop\PreferredUILanguages","NAME NOT FOUND","Length: 12"
"7:19:22.2663753 PM","notepad.exe","5656","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"7:19:22.2663977 PM","notepad.exe","5656","RegCloseKey","HKCU","SUCCESS",""
"7:19:22.2664149 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2664400 PM","notepad.exe","5656","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"7:19:22.2664681 PM","notepad.exe","5656","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached","SUCCESS","Desired Access: Read"
"7:19:22.2665035 PM","notepad.exe","5656","RegQueryValue","HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages","BUFFER OVERFLOW","Length: 12"
"7:19:22.2665481 PM","notepad.exe","5656","RegQueryValue","HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages","SUCCESS","Type: REG_MULTI_SZ, Length: 12, Data: en-US"
"7:19:22.2665786 PM","notepad.exe","5656","RegCloseKey","HKCU\Control Panel\Desktop\MuiCached","SUCCESS",""
"7:19:22.2666054 PM","notepad.exe","5656","RegCloseKey","HKCU","SUCCESS",""
"7:19:22.2666423 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-US","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2669869 PM","notepad.exe","5656","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"7:19:22.2670069 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2670184 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows","SUCCESS","Desired Access: Read"
"7:19:22.2670377 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2670877 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows","SUCCESS",""
"7:19:22.2671205 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\notepad.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2673767 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2674000 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read"
"7:19:22.2674211 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorUseSystemHeap","NAME NOT FOUND","Length: 20"
"7:19:22.2674391 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"7:19:22.2674530 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2674689 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read"
"7:19:22.2674857 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorSystemHeapIsPrivate","NAME NOT FOUND","Length: 20"
"7:19:22.2675014 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"7:19:22.2675167 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2675305 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read"
"7:19:22.2675525 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\AggressiveMTATesting","NAME NOT FOUND","Length: 16"
"7:19:22.2675678 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"7:19:22.2676818 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2676983 PM","notepad.exe","5656","RegOpenKey","HKLM","SUCCESS","Desired Access: Read"
"7:19:22.2677166 PM","notepad.exe","5656","RegSetInfoKey","HKLM","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"7:19:22.2677653 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"7:19:22.2678077 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2678564 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\AppModel\Lookaside\Packages","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2678836 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"7:19:22.2678999 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2679340 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"7:19:22.2679500 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Ole","SUCCESS","Desired Access: Read"
"7:19:22.2680292 PM","notepad.exe","5656","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"7:19:22.2680833 PM","notepad.exe","5656","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2681152 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes\Local Settings","REPARSE","Desired Access: Read"
"7:19:22.2681497 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes\Local Settings","SUCCESS","Desired Access: Read"
"7:19:22.2681671 PM","notepad.exe","5656","RegSetInfoKey","HKCU\Software\Classes\Local Settings","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"7:19:22.2681832 PM","notepad.exe","5656","RegCloseKey","HKCU","SUCCESS",""
"7:19:22.2682186 PM","notepad.exe","5656","RegQueryKey","HKCU\Software\Classes\Local Settings","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"7:19:22.2682345 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2682674 PM","notepad.exe","5656","RegQueryKey","HKCU\Software\Classes\Local Settings","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"7:19:22.2682981 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2683223 PM","notepad.exe","5656","RegQueryKey","HKCU\Software\Classes\Local Settings","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"7:19:22.2683356 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2683858 PM","notepad.exe","5656","RegQueryKey","HKCU\Software\Classes\Local Settings","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"7:19:22.2683993 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft","SUCCESS","Desired Access: Read"
"7:19:22.2685337 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2685489 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\OLE\Tracing","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2686402 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\1aff6089-e863-4d36-bdfd-3581f07440be","NAME NOT FOUND","Length: 528"
"7:19:22.2687947 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f0558438-f56a-5987-47da-040ca75aef05","NAME NOT FOUND","Length: 528"
"7:19:22.2689905 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\c7e09e2a-c663-5399-af79-2fccd321d19a","NAME NOT FOUND","Length: 528"
"7:19:22.2690728 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\703fcc13-b66f-5868-ddd9-e2db7f381ffb","NAME NOT FOUND","Length: 528"
"7:19:22.2694767 PM","notepad.exe","5656","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2695156 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"7:19:22.2695366 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"7:19:22.2695560 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"7:19:22.2699379 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS","Desired Access: Read"
"7:19:22.2699593 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\PreferExternalManifest","NAME NOT FOUND","Length: 20"
"7:19:22.2699808 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS",""
"7:19:22.2703548 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"7:19:22.2703709 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"7:19:22.2703885 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\DelayExecutionThreshold","NAME NOT FOUND","Length: 80"
"7:19:22.2704055 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"7:19:22.2710009 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f3a71a4b-6118-4257-8ccb-39a33ba059d4","NAME NOT FOUND","Length: 528"
"7:19:22.2712728 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","REPARSE","Desired Access: Query Value"
"7:19:22.2713020 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS","Desired Access: Query Value"
"7:19:22.2713269 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\STE","NAME NOT FOUND","Length: 20"
"7:19:22.2718294 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
"7:19:22.2718490 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","REPARSE","Desired Access: Query Value"
"7:19:22.2718658 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS","Desired Access: Query Value"
"7:19:22.2718831 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2718982 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","REPARSE","Desired Access: Query Value"
"7:19:22.2719123 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS","Desired Access: Query Value"
"7:19:22.2719267 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","NAME NOT FOUND","Length: 20"
"7:19:22.2719520 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\MDMEnabled","NAME NOT FOUND","Length: 20"
"7:19:22.2719721 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
"7:19:22.2719848 PM","notepad.exe","5656","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS",""
"7:19:22.2719978 PM","notepad.exe","5656","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","REPARSE","Desired Access: Query Value"
"7:19:22.2720169 PM","notepad.exe","5656","RegOpenKey","HKLM\System\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","NAME NOT FOUND","Desired Access: Query Value"
"7:19:22.2743694 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\ca967c75-04bf-40b5-9a16-98b5f9332a92","NAME NOT FOUND","Length: 528"
"7:19:22.2745832 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\b6fd710b-f783-4b1c-ab9c-c68099dcc0c7","NAME NOT FOUND","Length: 528"
"7:19:22.2747473 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\bf30465b-e93c-46fd-9cdf-f41c8904a01f","NAME NOT FOUND","Length: 528"
"7:19:22.2748387 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\c1376338-0984-48b8-b933-9c7d779fd84d","NAME NOT FOUND","Length: 528"
"7:19:22.2749391 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\e29eb67a-714d-4d58-a598-46dee87e620b","NAME NOT FOUND","Length: 528"
"7:19:22.2749779 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\e29eb67a-714d-4d58-a598-46dee87e620b","NAME NOT FOUND","Length: 528"
"7:19:22.2796713 PM","notepad.exe","5656","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"7:19:22.2797298 PM","notepad.exe","5656","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2797774 PM","notepad.exe","5656","RegOpenKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Themes\Personalize","SUCCESS","Desired Access: Query Value"
"7:19:22.2798524 PM","notepad.exe","5656","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Themes\Personalize\AppsUseLightTheme","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2798876 PM","notepad.exe","5656","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Themes\Personalize","SUCCESS",""
"7:19:22.2799335 PM","notepad.exe","5656","RegCloseKey","HKCU","SUCCESS",""
